"jetz name"	"freq.numbers"	"min.prey"	"max.prey"	"mass"	"masslog"	"min.prey.log"	"max.prey.log"	"estimated_min_prey"	"estimated_max_prey"
"1"	"Accipiter_albogularis"	1	"small birds"	"121"	248.75	5.5164483760387	NA	4.79579054559674	11.5667519978904	190.050082160911
"2"	"Accipiter_badius"	2	"small birds"	"134"	131.15	4.87634170631288	NA	4.89783979995091	5.7807886333289	115.561971294934
"3"	"Accipiter_bicolor"	1	"20"	"350"	287.540000000001	5.66136198099445	2.99573227355399	5.85793315448346	13.5333568380983	212.706263652745
"4"	"Accipiter_brachyurus"	1	NA	NA	142	4.95582705760126	NA	NA	6.30074163613241	122.925893418342
"7"	"Accipiter_castanilius"	1	"small birds"	"350"	157.509999999999	5.05948894831364	NA	5.85793315448346	7.0497442142183	133.239205351112
"10"	"Accipiter_cirrocephalus"	1	"25"	"70"	165.73	5.11035995813545	3.2188758248682	4.24849524204936	7.44924868558614	138.61248841208
"11"	"Accipiter_collaris"	1	"small birds"	"small birds"	332.939999999999	5.80796229356586	NA	NA	15.8632942796656	238.375603262603
"12"	"Accipiter_cooperii"	1	"10"	"340"	429.670000000002	6.06301747219289	2.30258509299405	5.82894561761021	20.9131001459557	290.636228475335
"13"	"Accipiter_erythrauchen"	1	"small birds"	"156"	156	5.04985600724954	NA	5.04985600724954	6.97654253118161	132.245425602309
"15"	"Accipiter_erythropus"	1	"small birds"	"small birds"	111.2	4.71133038181648	NA	NA	4.83431899384212	101.652767420832
"16"	"Accipiter_fasciatus"	1	"small birds"	"250"	358.660000000001	5.88237486452028	NA	5.52146091786225	17.1953408913029	252.567832921962
"18"	"Accipiter_gentilis"	1	"76"	"4100"	866.039999999998	6.76393109687218	4.33073334028633	8.3187422526924	44.6948585067239	501.102815387059
"19"	"Accipiter_griseiceps"	1	"small birds"	"840"	251.76	5.52847625275615	NA	6.73340189183736	11.7184874004148	191.834975853269
"20"	"Accipiter_gularis"	1	"8.1999999999999993"	"350"	120.660000000001	4.79297667301262	2.10413415427021	5.85793315448346	5.28149399568246	108.312109256811
"21"	"Accipiter_gundlachi"	0	"medium birds"	"145"	675	6.51471269087253	NA	4.97673374242057	34.1176591210565	412.865853547778
"23"	"Accipiter_henicogrammus"	1	"small birds"	"640"	332.939999999999	5.80796229356586	NA	6.46146817635372	15.8632942796656	238.375603262603
